_id,JUMLAH PENUMPANG,SATUAN,2013,2014,2015,2016,2017,2018
1,Jumlah Penumpang Keluar,,3.69,21.117,4.33,2.888,4.049,4.546
2,Jumlah Penumpang Masuk,,4.593,1.653,4.2,2.74,4.525,3.349
